ds,prediction,prediction_lower,prediction_upper,country
2018-09-11,0.10226057901207299,0.0,17.489376344064972,Lithuania
2018-09-12,0.15704220221990256,0.0,16.761221710719127,Lithuania
2018-09-13,0.2174002634358037,0.0,16.77007680477024,Lithuania
2018-09-14,0.0,0.0,12.58909356148601,Lithuania
2018-09-15,0.3246752235264091,0.0,17.070727200220396,Lithuania
2018-09-16,0.359752074184199,0.0,17.12865430718805,Lithuania
2018-09-17,0.0,0.0,15.642503535991485,Lithuania
2018-09-18,0.045503331707911904,0.0,15.744244473310703,Lithuania
2018-09-19,0.07137009197662227,0.0,15.766729342305656,Lithuania
2018-09-20,0.08159783427780086,0.0,16.528810051314146,Lithuania
2018-09-21,0.0,0.0,14.797014416665009,Lithuania
2018-09-22,0.053191195548170624,0.0,15.797921397320298,Lithuania
2018-09-23,0.022001963060520418,0.0,16.441633869508088,Lithuania
2018-09-24,0.004294290019823804,0.0,16.61728835131416,Lithuania
2018-09-25,0.0,0.0,16.766900435059352,Lithuania
2018-09-26,0.0,0.0,15.499271329736306,Lithuania
2018-09-27,0.0,0.0,16.05304294791497,Lithuania
2018-09-28,1.0368711334878504,0.0,17.780079248106887,Lithuania
2018-09-29,0.0,0.0,16.583769031699887,Lithuania
2018-09-30,0.0,0.0,16.281159925415174,Lithuania
2018-10-01,0.0,0.0,15.40268537753589,Lithuania
2018-10-02,0.008680758046460357,0.0,16.378121320137645,Lithuania
2018-10-03,0.03316183736872646,0.0,16.049455392455034,Lithuania
2018-10-04,0.06852779213768256,0.0,16.63251975710861,Lithuania
2018-10-05,0.0,0.0,14.921396421747303,Lithuania
2018-10-06,0.15774030771130831,0.0,16.07060355627012,Lithuania
2018-10-07,0.16137997164437773,0.0,16.38543668828339,Lithuania
2018-10-08,0.06719284716925587,0.0,15.38600599218848,Lithuania
2018-10-09,0.09431921621854723,0.0,16.600550502261495,Lithuania
2018-10-10,0.10750510810642487,0.0,16.992008929739047,Lithuania
2018-10-11,0.11643784231386152,0.0,15.82887103193517,Lithuania
2018-10-12,0.0,0.0,16.067012475792268,Lithuania
2018-10-13,0.11814697898959121,0.0,16.167112419940647,Lithuania
2018-10-14,0.11173941716603615,0.0,16.144322525494662,Lithuania
2018-10-15,0.03376601903076468,0.0,16.881866832421935,Lithuania
2018-10-16,0.047216332198810565,0.0,16.594676301273683,Lithuania
2018-10-17,0.051279070085750694,0.0,15.097797363873893,Lithuania
2018-10-18,0.052046383609090745,0.0,15.583166843888373,Lithuania
2018-10-19,0.0,0.0,16.633031917457462,Lithuania
2018-10-20,0.04536961081468149,0.0,16.632575144684438,Lithuania
2018-10-21,0.039050784481498756,0.0,16.652192848667035,Lithuania
2018-10-22,0.0,0.0,16.329002033781222,Lithuania
2018-10-23,0.003297859580391591,0.0,16.824463988116502,Lithuania
2018-10-24,0.006744129406277633,0.0,17.559587272325295,Lithuania
2018-10-25,0.008760788415565704,0.0,15.470722173579743,Lithuania
2018-10-26,0.0,0.0,17.33225961273864,Lithuania
2018-10-27,0.007883160747042199,0.0,15.0634261886131,Lithuania
2018-10-28,0.009257586222724283,0.0,16.380887187304296,Lithuania
2018-10-29,0.0,0.0,15.993745406775417,Lithuania
2018-10-30,0.0006810061696773734,0.0,15.518536113320984,Lithuania
2018-10-31,0.005185247362233869,0.0,16.139195646025495,Lithuania
2018-11-01,0.010080015088977021,0.0,16.76392067328995,Lithuania
2018-11-02,0.0,0.0,16.845128520958994,Lithuania
2018-11-03,0.019481352480077922,0.0,15.07557065732723,Lithuania
2018-11-04,0.023558421657415302,0.0,15.930060555793542,Lithuania
2018-11-05,0.005497236359340195,0.0,16.486477591024197,Lithuania
2018-11-06,0.015352136587430896,0.0,15.735600424633803,Lithuania
2018-11-07,0.02308342997394956,0.0,15.969034689061951,Lithuania
2018-11-08,0.030739632593860478,0.0,16.856506782334403,Lithuania
2018-11-09,0.0,0.0,15.10854644138896,Lithuania
2018-11-10,0.043472214507457085,0.0,16.451906735349187,Lithuania
2018-11-11,0.047918575130158354,0.0,15.97957941043004,Lithuania
2018-11-12,0.023054172329792802,0.0,16.28957238800527,Lithuania
2018-11-13,0.03364599446016919,0.0,16.027802907280794,Lithuania
2018-11-14,0.04068214684250252,0.0,17.08848876662849,Lithuania
2018-11-15,0.046869720278894855,0.0,16.540897082193695,Lithuania
2018-11-16,0.0,0.0,15.640393933625736,Lithuania
2018-11-17,0.05415014545137292,0.0,16.9951053337472,Lithuania
2018-11-18,0.054744236536238215,0.0,16.692179016480473,Lithuania
2018-11-19,0.01919927229946768,0.0,16.864568989896675,Lithuania
2018-11-20,0.02716577509454038,0.0,16.245763397483554,Lithuania
2018-11-21,0.030820927271436,0.0,16.351104700211618,Lithuania
2018-11-22,0.03367558088647038,0.0,16.052123727703993,Lithuania
2018-11-23,0.0,0.0,17.120359053909638,Lithuania
2018-11-24,0.03470374982605498,0.0,15.47894143210353,Lithuania
2018-11-25,0.032667043690116984,0.0,16.332134222077304,Lithuania
2018-11-26,0.0,0.0,18.127882646574456,Lithuania
2018-11-27,0.0,0.0,17.054521982697377,Lithuania
2018-11-28,0.0023895066283878006,0.0,15.062201364825812,Lithuania
2018-11-29,0.007395956892423505,0.0,16.46303071262595,Lithuania
2018-11-30,0.0,0.0,15.153724476321878,Lithuania
2018-12-01,0.015453959036268202,0.0,16.275391401242512,Lithuania
2018-12-02,0.01820747034689334,0.0,16.95230621003821,Lithuania
2018-12-03,0.0,0.0,16.040777014287247,Lithuania
2018-12-04,0.0,0.0,16.260975314922526,Lithuania
2018-12-05,0.004141580006612633,0.0,16.86141228100891,Lithuania
